category,category_label,agencyId,eligibilityId,program,agency,bureau,funding_amt,funding_amt_notes,period_of_availability,funding_type,newprogram_yes_no,eligibility,description,eligible_uses,application,next_milestone,link,coverage,tribal_eligibility
pollution,Remediation and reduction of legacy pollution,epa,".tribal, .stateGov",Brownfields State & Tribal Response Programs,Environmental Protection Agency,State and Tribal Assistance Grants,"$300,000,000",,Available until expended,Cooperative Agreement,No,"States, Tribal Governments (Federally Recognized)","Unlike many Environmental Protection Agency cleanup programs, States and Tribal Nations are responsible for developing brownfields cleanup standards and policy and conducting or overseeing the assessment and cleanup of brownfield sites within their jurisdictions. This funding is intended for States and Tribes that have the required management and administrative capacity within their government to administer a Federal grant. The primary goal of this funding is to ensure that State and Tribal response programs include, or are taking reasonable steps to include, certain elements of an environmental response program and that the program establishes and maintains a public record of sites addressed.","Eligible activities include, but are not limited to, the following: Developing legislation, regulations, procedures, ordinances, guidance, etc. that establish or enhance the administrative and legal structure of a response program; Establishing and maintaining required public records; Operation, maintenance, and long-term monitoring of institutional controls and engineering controls; Conducting limited site-specific activities, such as assessment or cleanup, provided such activities establish and/or enhance the response program; Purchasing environmental insurance; and Capitalizing revolving loan funds for cleanup.",,Most recent selections announced in December 2022. Next set of announcements coming up in May 2023.,https://sam.gov/fal/a241db38fabe4de09bb46ecb370d1feb/view,BIL,
pollution,Remediation and reduction of legacy pollution,epa,".ngo, .tribal, .stateGov, .localGov",Brownfields Projects,Environmental Protection Agency,State and Tribal Assistance Grants,"$1,200,000,000",,Available until expended,Cooperative Agreement,No,"States, Counties, Cities/Townships, Tribal Governments (Federally Recognized), Public Housing Authorities, Indian Housing Authorities, Nonprofits With 501(C)(3) Status","The Environmental Protection Agency’s Brownfields Program provides funds to empower States, communities, Tribes, and nonprofit organizations to prevent, inventory, assess, clean up, and reuse brownfield sites. The Environmental Protection Agency provides technical and financial assistance for brownfields activities that protect human health and the environment, encourage sustainable reuse, promote partnerships, strengthen local economies, and create jobs. By providing funds and technical assistance to assess, clean up, and plan for site reuse, the Environmental Protection Agency enables communities to overcome the environmental, legal, and fiscal challenges associated with brownfields properties. The Environmental Protection Agency’s investments in communities across the country help local leaders eliminate uncertainties, clean up contaminated properties, and transform brownfield sites into community assets.","Eligible activities include, but are not limited to, conducting community engagement and planning at one or more brownfield sites, site assessments, site cleanup planning and direct site cleanup.",,Second round of announcements made in May for Brownfields grants,https://sam.gov/fal/e6dd564514804abda16b1b946741a9f1/view,BIL,
pollution,Remediation and reduction of legacy pollution,epa,".stateGov, .tribal",Pollution Prevention Grants,Environmental Protection Agency,State and Tribal Assistance Grants,"$100,000,000",,Available until expended,Grant,No,"States, Tribes, State-Sponsored Institutions, Tribal Institutions","Grantees deliver technical assistance to businesses – including those communities with environmental justice concerns – to identify and adopt source reduction practices and technologies that benefit businesses, communities, and local economies. Pollution Prevention means reducing or eliminating pollutants from entering any waste stream or otherwise being released into the environment prior to recycling, treatment, or disposal.","Specific technical assistance available to businesses seeking information about source reduction opportunities, including funding for experts to provide on-site technical advice to businesses and to assist in the development of source reduction plans; targeted assistance to businesses for whom lack of information is an impediment to source reduction; or training in source reduction techniques (where such training may be provided through local engineering schools or other appropriate means).",,RFA Open,https://sam.gov/fal/617643d9f8c04c46b0d5009f7d27184f/view,BIL,
pollution,Remediation and reduction of legacy pollution,epa,".stateGov, .tribal",Solid Waste Infrastructure for Recycling Infrastructure Grants,Environmental Protection Agency,State and Tribal Assistance Grants,"$275,000,000",,Available until expended,Cooperative Agreements and/or Grants,Yes,"States (including the District of Columbia, a territory or possession of the United States, or any political subdivision of a State, Tribe, or territory), Tribes, InterTribal Consortia consistent with the requirements in 40 CFR 35.504(A), Former Indian Reservations in Oklahoma (As Determined by The Secretary of The Interior), and Alaskan Native Villages as defined in Public Law 92–203.",Communities across the country are burdened by pollution impacts from inefficient waste management systems. This historic investment will transform recycling and solid waste management across the country while creating jobs.,Provide grants to implement a strategy to improve post-consumer materials management and infrastructure; support improvements to local post-consumer materials management and recycling programs; and assist local waste management authorities in making improvements to local waste management systems.,,Funding Opportunity Closed,https://www.epa.gov/infrastructure/solid-waste-infrastructure-recycling-grant-program,BIL,
water,Critical clean water and wastewater infrastructure,epa,".stateGov, .tribal",Clean Water State Revolving Fund-Emerging Contaminants,Environmental Protection Agency,State and Tribal Assistance Grants,"$1,000,000,000",,Available until expended,Grant,No,"States initially receive funding, then provide funds to Water Utilities and/or Municipal and Other Eligible Entities. Tribes and Territories are also eligible to receive a portion of State Revolving Fund funds.","Clean Water State Revolving Fund funding as described in the Clean Water State Revolving Fund program, with eligible projects limited to those that address emerging contaminants, such as PFAS.","States apply for a capitalization grant with no State match required. The States provide loans with principal forgiveness or grants to fund clean water infrastructure projects to address emerging contaminants, including PFAS. Further information will be forthcoming.",,Continue furnishing capitalization grants in FY-23,https://sam.gov/fal/51bb78d8816240279c54ad4a3fda4a00/view,BIL,
water,Critical clean water and wastewater infrastructure,epa,".stateGov, .tribal","Water Infrastructure Improvements for the Nation, Small and Underserved Communities Emerging Contaminants Grant Program",Environmental Protection Agency,State and Tribal Assistance Grants,"$5,000,000,000",,Available until expended,Grant,No,"States initially receive funding, then provide funds through grants to water utilities and other eligible entities in small and/or underserved/disadvantaged communities. Tribes and territories are also eligible to receive funds under this program.","This grant program provides grants to public water systems in small and underserved/disadvantaged communities that are unable to finance activities needed to comply with drinking water regulations. Bipartisan Infrastructure Law prioritizes the funding to focus on small and disadvantaged communities in addressing emerging contaminants, including PFAS.","Projects eligible for assistance include efforts that benefit small and disadvantaged communities in testing and remediating emerging contaminants, including PFAS, including water filtration. ""Disadvantaged Community” is one determined by the State to be disadvantaged under the affordability criteria established by the State under its authorities in the Safe Drinking Water Act, or may become a disadvantaged community as a result of carrying out a project or activity. ""Small Community” is one that has a population 10,000 of fewer individuals and lacks the capacity to incur debt sufficient to finance a project to comply with the Safe Drinking Water Act.",,FY22/23 non-competitive funds awarded to states and territories in February 2023,https://sam.gov/fal/5acc0d86dc944dd5b18ead7998f12b61/view,BIL,
water,Critical clean water and wastewater infrastructure,epa,".stateGov, .tribal",Clean Water State Revolving Fund,Environmental Protection Agency,State and Tribal Assistance Grants,"$11,713,000,000",,Available until expended,Loans and Grants,No,"States initially receive funding, then provide funds to Water Utilities and/or Municipal and Other Eligible Entities. Tribes and Territories are also eligible to receive a portion of State Revolving Fund funds.","The Clean Water State Revolving Fund program is a Federal-State partnership that provides communities low-cost financing for a wide range of water quality infrastructure projects. Under the Bipartisan Infrastructure Law, 49 percent of Clean Water State Revolving Fund funds shall be eligible to be grants or 100 percent principal forgiveness loans. The Clean Water State Revolving Fund program provides capitalization grants to States, which will provide a long-term source of State financing for construction of wastewater treatment facilities and implementation of other water quality management activities.","Capitalization grants are available to each State and to Tribes and territories for the purpose of establishing a Clean Water State Revolving Fund. State Revolving Fund programs provide financial assistance to local communities and publicly owned treatment systems for construction of wastewater and stormwater treatment facilities and collection systems; nonpoint source pollution management; construction, repair, or replacement of decentralized wastewater treatment systems; construction of nature-based infrastructure solutions; and other uses associated with the management of wastewater and stormwater.",,Continue furnishing capitalization grants in FY 2023,https://sam.gov/fal/51bb78d8816240279c54ad4a3fda4a00/view,BIL,
water,Critical clean water and wastewater infrastructure,epa,".stateGov, .tribal",Drinking Water State Revolving Fund,Environmental Protection Agency,State and Tribal Assistance Grants,"$11,713,000,000",,Available until expended,Loans and Grants,No,"States initially receive funding, then provide funds to Water Utilities and/or Municipal and Other Eligible Entities. Tribes and Territories are also eligible to receive a portion of State Revolving Fund funds.","The Drinking Water State Revolving Fund is a financial assistance program to help water systems and States to achieve the health protection objectives of the Safe Drinking Water Act. States are required to give priority for the use of Drinking Water State Revolving Fund project funds to: Address the most serious risks to human health, ensure compliance with the requirements of the Safe Drinking Water Act, and assist systems most in need on a per household basis according to State affordability criteria. Not all drinking water compliance problems, however, can be solved through capital financing of infrastructure improvements. Under the Bipartisan Infrastructure Law, 49 percent of funds shall be eligible to be grants or 100 percent principal forgiveness loans.","Capitalization grants are available to each State, and Tribes and territories for the purpose of establishing a Drinking Water State Revolving Fund. This revolving fund provides loans and grants to water systems for eligible infrastructure projects including: construction of expansion of drinking water treatment plants and/or distribution systems; improving drinking water treatment; fixing leaky or old pipes (water distribution); improving sources of water supply; replacing or constructing finished water storage tanks; other infrastructure projects needed to protect public health.",,Continue furnishing capitalization grants in FY 2023,https://sam.gov/fal/3d1d6a37ed704fdd8a12257ac80fd05b/view,BIL,
water,Critical clean water and wastewater infrastructure,epa,".stateGov, .tribal",Drinking Water State Revolving Fund Emerging Contaminants (incl. PFAS),Environmental Protection Agency,State and Tribal Assistance Grants,"$4,000,000,000",,Available until expended,Grant,No,"States initially receive funding, then provide funds to Water Utilities and/or Municipal and Other Eligible Entities. Tribes and Territories are also eligible to receive a portion of State Revolving Fund funds.","Drinking Water State Revolving Fund funding as described in the Drinking Water State Revolving Fund program, with eligible projects limited to those that address emerging contaminants, such as PFAS.","States apply for a capitalization grant with no State match required. The States provide loans with principal forgiveness or grants to fund drinking water infrastructure projects to address emerging contaminants, including PFAS. Further information will be forthcoming.",,Continue furnishing capitalization grants in FY 2023,https://sam.gov/fal/3d1d6a37ed704fdd8a12257ac80fd05b/view,BIL,
water,Critical clean water and wastewater infrastructure,epa,".stateGov, .tribal",Drinking Water State Revolving Fund Lead Service Lines Replacement,Environmental Protection Agency,State and Tribal Assistance Grants,"$15,000,000,000",,Available until expended,Loans and Grants,No,"States initially receive funding, then provide funds to Water Utilities and/or Municipal and Other Eligible Entities. Tribes and Territories are also eligible to receive a portion of State Revolving Fund funds.","Drinking Water State Revolving Fund funding as described in the Drinking Water State Revolving Fund program, below, with eligible projects limited to lead service line replacement and associated activities related to identification, planning, design and removal. Under the Bipartisan Infrastructure Law, 49 percent of funds shall be eligible to be grants or 100 percent principal forgiveness loans.","States receive a capitalization grant with no State match required. The States provide low interest loans, principal forgiveness, and/or grants to replace lead service lines. Further information will be forthcoming.",,Continue furnishing capitalization grants in FY 2023,https://sam.gov/fal/3d1d6a37ed704fdd8a12257ac80fd05b/view,BIL,
pollution,Remediation and reduction of legacy pollution,epa,".tribal, .stateGov, .localGov",Superfund,Environmental Protection Agency,Hazardous Substance Superfund,"$3,500,000,000",,Available until expended,"Contract, Cooperative Agreement, Interagency Agreements",No,"Industry Partners, Federal, States, Local Governments, Special Districts, Tribal Governments","The Environmental Protection Agency’s Superfund program is responsible for cleaning up some of the nation’s most contaminated land. To protect public health and the environment the Superfund program focuses on making a visible and lasting difference in communities, ensuring that people can live and work in healthy, vibrant places.","The Environmental Protection Agency enters contracts and interagency agreements to conduct work at Superfund sites. The Environmental Protection Agency can also award Superfund cooperative agreements with States, Tribes, or local governments to lead or support work in the Superfund program.",,Cleanup activities funded on a rolling basis.,https://sam.gov/fal/0c22968cfde648078411ea3ebad7f2c3/view,BIL,
pollution,Remediation and reduction of legacy pollution,epa,.other,Battery Recycling Best Practices,Environmental Protection Agency,Environmental Programs and Management,"$10,000,000",,"fiscal year 2022, to remain available until September 30, 2026.",Contracts,Yes,N/A,"This investment will promote the safe handling of used batteries and improve battery recycling programs. The Environmental Protection Agency will develop best practices that may be implemented by State, Tribal, and local governments with respect to the collection of batteries to be recycled in a manner that to the maximum extent practicable, is technically and economically feasible for State, Tribal, and local governments; is environmentally sound and safe for waste management workers; and optimizes the value and use of material derived from recycling of batteries. The Environmental Protection Agency will develop the best practices in coordination with State, Tribal, and local governments and relevant nongovernmental and private sector entities.","The Administrator shall develop best practices that may be implemented by State, Tribal, and local governments with respect to the collection of batteries to be recycled in a manner that to the maximum extent practicable, is technically and economically feasible for State, Tribal, and local governments; is environmentally sound and safe for waste management workers; and optimizes the value and use of material derived from recycling of batteries.",,To be determined,https://www.epa.gov/infrastructure/battery-collection-best-practices-and-battery-labeling-guidelines,BIL,
pollution,Remediation and reduction of legacy pollution,epa,.other,Geographic Programs - Columbia River Basin Restoration Program,Environmental Protection Agency,Environmental Programs and Management,"$79,000,000",,Available until expended,Grant,No,Broad Eligibilities,"This program is intended to improve water quality in the Lower Columbia River Basin through specific actions to reduce toxics, increase monitoring, and/or increase public education and outreach. The Columbia River Basin Restoration Program will assist Tribal, State and local governments; non-government entities, and others as they implement the Columbia River Basin Toxics Reduction Action Plan and the Lower Columbia Estuary Partnership Comprehensive Conservation and Management Plan and conduct activities to support Environmental Protection Agency national goals for the Columbia River Basin.","Cleaning up contaminated sites, reducing runoff, monitoring and improving water quality, habitat protection, education, reducing stormwater and agricultural runoff, pollution prevention, implementing agricultural best management practices.",,$20M Tribal RFA closed January 2023. $40M RFA closed March 2023,https://sam.gov/fal/7bf4d1d38460496d985b109539404792/view,BIL,
pollution,Remediation and reduction of legacy pollution,epa,.other,Geographic Programs - Great Lakes Restoration Initiative,Environmental Protection Agency,Environmental Programs and Management,"$1,000,000,000",,Available until expended,Grant,No,Broad Eligibilities,"The goal of the Great Lakes Program is to restore and maintain the chemical, physical, and biological integrity of the Great Lakes Basin Ecosystem. The Environmental Protection Agency leads a consortium of programs, agencies, and public and private institutions in attaining specific objectives and actions that will address the most significant Great Lakes ecosystem problems and efforts in five major focus areas: Toxic Substances and Areas of Concern; Invasive Species; Nonpoint Source Pollution Impacts on Nearshore Health; Habitats and Species; and Foundations for Future Restoration Actions.","Addressing toxic substances and Areas of Concern; reduction of nonpoint source pollution; invasive species prevention; reduction of runoff contributing to HABs; ecosystem and wetland restoration, stormwater treatment and control, nature-based infrastructure, resilient shorelines, and more.",,NOFO Open,https://sam.gov/fal/296bc949e6f34ff7ab168a7f78cb4300/view,BIL,
pollution,Remediation and reduction of legacy pollution,epa,.other,Geographic Programs - Gulf of Mexico,Environmental Protection Agency,Environmental Programs and Management,"$53,000,000",,Available until expended,Grant,No,Broad Eligibilities,"The Gulf of Mexico Program, housed within the Gulf of Mexico Division, is a non-regulatory program of the U.S. Environmental Protection Agency founded to facilitate collaborative actions to protect, maintain, and restore the health and productivity of the Gulf of Mexico in ways consistent with the economic well-being of the Region. To carry out its mission, the Gulf of Mexico Program continues to maintain and expand partnerships with State and Federal agencies, Federally recognized Tribes, local governments and authorities, academia, regional business and industry, agricultural and environmental organizations, and individual citizens and communities.","Ecosystem and wetland restoration, stormwater treatment and control, nature-based infrastructure, community resilience, resilient shorelines, and environmental education.",,$10M RFA to be released in Summer 2023,https://sam.gov/fal/3b07ada3ef2f4b2eaa3a78b5d17203d0/view,BIL,
water,Critical clean water and wastewater infrastructure,epa,.other,Geographic Programs - Lake Champlain,Environmental Protection Agency,Environmental Programs and Management,"$40,000,000",,Available until expended,Grant,No,Broad Eligibilities,"The Lake Champlain Basin Program coordinates and funds efforts that benefit the Lake Champlain Basin’s water quality, fisheries, wetlands, wildlife, recreation, and cultural resources, in partnership with government agencies from New York, Vermont, and Québec, private organizations, local communities, and individuals.","Ecosystem and wetland restoration, stormwater treatment and control, nature-based infrastructure, community resilience, resilient shorelines, and environmental education",,Subawards to be awarded in Summer 2023,https://sam.gov/fal/77d10f198db64e43aa79eb64ae2fb087/view,BIL,
water,Critical clean water and wastewater infrastructure,epa,.other,Geographic Programs - Lake Pontchartrain Restoration Program,Environmental Protection Agency,Environmental Programs and Management,"$53,000,000",,Available until expended,Cooperative Agreement (Discretionary Grants),No,Broad Eligibilities,"This program carries out the Lake Pontchartrain Basin Comprehensive Management Plan under the authority of the Clean Water Act Section 121 and Section 320. Program activities include conducting water quality monitoring of Lake Pontchartrain, educating basin residents on water protection and pollution prevention, evaluating sewer system designs and developing plans to upgrade or replace them in order to prevent or reduce water pollution.","Program activities include conducting water quality monitoring of Lake Pontchartrain, educating basin residents on water protection and pollution prevention, evaluating sewer system designs and developing plans to upgrade or replace them in order to prevent or reduce water pollution.",,Non-competitive awards to be announced in Winter 2024,https://sam.gov/fal/2ae28ce458e64b35b9f71bf16ea27407/view,BIL,
water,Critical clean water and wastewater infrastructure,epa,.other,Geographic Programs - Long Island Sound,Environmental Protection Agency,Environmental Programs and Management,"$106,000,000",,Available until expended,Cooperative Agreement (Discretionary Grants),No,Broad Eligibilities,"The Long Island Sound Program supports the implementation of a comprehensive plan to protect and restore water quality, habitat, and living resources in Long Island Sound, working with State and local governments, the private sector, user groups, and the general public.","The Long Island Sound Program implements the Long Island Sound Study Comprehensive Conservation and Management Plan. The program also assists the States of Connecticut and New York and other public or nonprofit entities in implementation, research, planning, enforcement, and citizen involvement and education related to reducing pollution and improving the quality of the environment to sustain living resources in the Long Island Sound.",,To be determined,https://sam.gov/fal/da6050c74f4a4337b974f04dcb1836fd/view,BIL,
water,Critical clean water and wastewater infrastructure,epa,.other,Geographic Programs - Northwest Forest,Environmental Protection Agency,Environmental Programs and Management,"$4,000,000",,Available until expended,Grants and Interagency Agreements,No,Limited Eligibilities – Federal,The Northwest Forest Geographic Program addresses water quality impairments from non-point sources related to pacific northwest forest practices and works to improve the quality and quantity of surface water so that beneficial uses and drinking water/source water protection goals are met. Climate change is increasing the demands on the program due to the increase of catastrophic wildfire and resulting impacts to water quality and municipal drinking water.,Monitoring of aquatic and riparian management in the Northwest Forest Plan; groundwater restoration to improve sources of drinking water; post-wildfire water quality monitoring; education and capacity-building for States and drinking water providers.,,Non-competitive awards announced in summer 2023,https://www.epa.gov/system/files/documents/2021-07/fy22-cj-04-epm.pdf,BIL,
water,Critical clean water and wastewater infrastructure,epa,.other,Geographic Programs - South Florida Geographic Initiatives Program,Environmental Protection Agency,Environmental Programs and Management,"$16,000,000",,Available until expended,Grant,No,Broad Eligibilities,"South Florida Geographic Initiatives Program provides competitive grants to address the immediate and emerging ecological pressures and threats to nearshore waters, bays, estuaries, beaches, and coral reefs central to South Florida’s economic well-being.",Canal demonstration projects; stormwater demonstration projects; coral research; endocrine disruptor impacts to marine fauna and flora; identifying and understanding cause/effect relationships of pollutants; developing effective remediation techniques for aquatic resources; addressing specific management questions and concerns; predictive models and monitoring tools; and overall improvement of our understanding of South Florida ecosystems.,,FY23 RFA to open in Summer 2023,https://sam.gov/fal/506d91738a2f469aa09eaf8a02543643/view,BIL,
water,Critical clean water and wastewater infrastructure,epa,.other,Geographic Programs - Southeast New England Coastal Watershed Restoration Program,Environmental Protection Agency,Environmental Programs and Management,"$15,000,000",,Available until expended,Grant,No,Broad Eligibilities,"Our mission is to foster collaboration among regional partners across southeast New England's coastal watersheds to protect and restore water quality, ecological health, and diverse habitats by sharing knowledge and resources, promoting innovative approaches, and leveraging economic and environmental investments to meet the needs of current and future generations. By 2050, we envision a resilient ecosystem of safe and healthy waters, thriving watersheds and natural lands, and sustainable communities throughout southeast New England's coastal watersheds.","Ecosystem and wetland restoration, stormwater treatment and control, nature-based infrastructure, community resilience, resilient shorelines, and environmental education.",,NOFO Open,https://sam.gov/fal/39b74d35866b41cea1744540bb950081/view,BIL,
water,Critical clean water and wastewater infrastructure,epa,.localGov,National Estuary Program Grants,Environmental Protection Agency,Environmental Programs and Management,"$132,000,000",,Available until expended,Grant,No,28 Federally Recognized Local National Estuary Programs,"The National Estuary Program goal is to protect and restore the water quality and resources of estuaries and associated watersheds designated by the Environmental Protection Agency Administrator as estuaries of national significance. The 28 estuaries of national significance, or National Estuary Programs, use an ecosystem-based management approach to help achieve their protection and restoration goals.","Each National Estuary Program characterizes the priority problems in its estuary and surrounding watershed, develops a long-term Comprehensive Conservation and Management Plan that identifies actions to address those problems, and identifies partners to implement those actions. Implementation of Comprehensive Conservation and Management Plans can include the following actions: protecting and restoring habitat, including wetlands; supporting water quality protection and restoration, including Total Maximum Daily Load plan implementation; monitoring and addressing toxics and pathogen loads and contamination; implementing stormwater management, reducing non-point source pollution impacts, and promoting the adoption of green infrastructure approaches; preventing the spread of aquatic invasive species and/or managing their impacts; developing and implementing nutrient reduction strategies; conducting climate vulnerability assessments and developing and implementing climate change adaptation strategies and using adaptation tools to promote coastal resilience; and developing and implementing strategies to provide opportunities for residents of urban minority and/or underserved communities to have greater access to urban waters, participate in urban ecosystem restoration, and participate in capacity-building/educational activities. In addition to Comprehensive Conservation and Management Plan implementation, National Estuary Programs and other eligible recipients address urgent and challenging issues that threaten the ecological and economic well-being of coastal areas.",,Annual awards on a rolling basis,https://sam.gov/fal/0317f310d726469d9723f82fe1f272c2/view,BIL,
pollution,Remediation and reduction of legacy pollution,epa,.other,Geographic Programs - Chesapeake Bay Program,Environmental Protection Agency,Environmental Programs and Management,"$238,000,000",,Available until expended,Grant,No,Broad Eligibilities,"The Environmental Protection Agency's Chesapeake Bay Program awards competitive grants and cooperative agreements to States, Tribal and local governments, non-governmental organizations, interstate agencies and academic institutions to reduce and prevent pollution and to improve the living resources in the Chesapeake Bay. Grants are awarded for implementation projects, as well as for technical assistance, monitoring, environmental education, and other related activities. The Environmental Protection Agency's funding priority is to achieve the goals and objectives established in the 2014 Chesapeake Bay Watershed Agreement through the implementation of the management strategies.","Ecosystem and wetland restoration, stormwater treatment and control, nature-based infrastructure, community resilience, resilient shorelines, and environmental education.",,NOFO Open,https://sam.gov/fal/7e38820d04f049cdaafef4c1452f9fc0/view,BIL,
water,Critical clean water and wastewater infrastructure,epa,.other,Geographic Programs - Puget Sound,Environmental Protection Agency,Environmental Programs and Management,"$89,000,000",,Available until expended,Grant,No,Broad Eligibilities,"Puget Sound has been designated as one of 28 estuaries of National Significance under section 320 of the Clean Water Act. The goal of the National Estuary Program is to attain and maintain water quality in designated estuaries that will assure protection of public water supplies and the protection and propagation of a balanced, indigenous population of shellfish, fish and wildlife and allows recreational activities in and on the water. The Puget Sound National Estuary Program's approved Comprehensive Conservation and Management Plan, the Action Agenda, has a goal to restore and maintain the Puget Sound Estuary's environment by meeting 2018-2022 ecosystem targets.","Ecosystem and wetland restoration, stormwater treatment and control, nature-based infrastructure, community resilience, resilient shorelines, and environmental education, Tribal support.",,NOFO Open,https://sam.gov/search/?index=cfda&page=1&pageSize=25&sort=-modifiedDate&sfm%5BsimpleSearch%5D%5BkeywordRadio%5D=ANY&sfm%5BsimpleSearch%5D%5BkeywordTags%5D%5B0%5D%5Bkey%5D=%2266.123%2066.121%22&sfm%5BsimpleSearch%5D%5BkeywordTags%5D%5B0%5D%5Bvalue%5D=%2266.123%2066.121%22&sfm%5Bstatus%5D%5Bis_active%5D=true,BIL,
water,Critical clean water and wastewater infrastructure,epa,.other,Geographic Programs - San Francisco Bay Water Quality Improvement Fund,Environmental Protection Agency,Environmental Programs and Management,"$24,000,000",,Available until expended,Grant,No,Broad Eligibilities,"The goals of the San Francisco Bay grant program are to improve water quality and restore aquatic habitat (i.e. wetlands) in the San Francisco Bay and its watersheds. Funded projects will reduce polluted runoff, restore impaired waters, and enhance aquatic habitat. Achieving significant environmental results related to wetlands restoration and water quality improvements is an overall program priority. Funding Priorities for fiscal year 2021 are the same as in all previous fiscal years and include the protection and restoration of water quality in San Francisco Bay and its watersheds. In addition, priorities include projects that ""benefit underserved communities (e.g. economically disadvantaged communities and other populations that experience disproportionate environmental harm and health risks as a result of greater vulnerability to environmental hazards) by increasing natural habitat and ""greener"" infrastructure in those areas.""","Ecosystem and wetland restoration, stormwater treatment and control, nature-based infrastructure, community resilience, resilient shorelines, and environmental education.",,NOFO Open,https://sam.gov/fal/a0a31e57d9ee47e6b8d0a0ccad86d96e/view,BIL,
pollution,Remediation and reduction of legacy pollution,epa,.stateGov,Gulf Hypoxia,Environmental Protection Agency,Environmental Programs and Management,"$60,000,000",,Available until expended,Grant,Yes,12 State Members of Gulf Hypoxia Task Force (Along Mississippi Corridor/Gulf of Mexico),"The Gulf of Mexico Hypoxia Task Force includes Federal and State agencies and the Tribes. Federal agencies include those with responsibilities over activities in the Mississippi River and its basin, and in the Gulf of Mexico. The Plan has a near-term target of reducing nutrient-loading to the Gulf of Mexico from the basin by 20 percent by 2025, and a long-term goal of limiting the Gulf hypoxic zone to an average annual size of less than 5,000 square kilometers by 2035.",,,FY22 awards to states (rolling) in Winter/Spring 2023.,https://www.epa.gov/ms-htf/gulf-hypoxia-program,BIL,
pollution,Remediation and reduction of legacy pollution,epa,".stateGov, .tribal",Underground Injection Control Grants: Class VI wells,Environmental Protection Agency,State and Tribal Assistance Grants,"$50,000,000",,Available until expended,Grant,Yes,States and Tribes,"The Underground Injection Control Grants fund Federal, State, and Tribal government agencies that oversee underground injection activities to prevent contamination of underground sources of drinking water from fluid injection practices. The funding in Bipartisan Infrastructure Law targets funding to Class VI wells utilized for carbon sequestration.",Eligible entities shall use grants to defray the expenses related to the establishment and operation of a Class VI primacy program.,,Letters of Intent due March 2023. Allocations anticipated in Summer 2023.,https://www.epa.gov/uic/underground-injection-control-grants,BIL,
transportation,Clean Transportation,epa,".ngo, .stateGov, .ed, .tribal",Clean Heavy-Duty Vehicles,Environmental Protection Agency,Office of Air and Radiation,"$1,000,000,000 ",,"To remain available until September 30, 2031. ",Competitive grants and rebates,New,"(1) a state; (2) a municipality; (3) an Indian Tribe; (4) a nonprofit school transportation association. The Clean Air Act defines “state” to mean a state, the District of Columbia, the Commonwealth of Puerto Rico, the Virgin Islands, Guam, and American Samoa and includes the Commonwealth of the Northern Mariana Islands. The term “Indian tribe” means any Indian tribe, band, nation, or other organized group or community, including any Alaska Native village, that is Federally recognized as eligible for the special programs and services provided by the United States to Indians because of their status as Indians.","To provide funding to offset the costs of replacing heavy-duty Class 6 and 7 commercial vehicles with zero-emission vehicles; deploying infrastructure needed to charge, fuel, or maintain these zero-emission vehicles; and developing and training the necessary workforce.",Program covers up to 100 percent of costs for (1) incremental cost of replacing an existing heavy-duty vehicle with a zero-emission vehicle; (2) purchasing and operating associated infrastructure; (3) workforce development and training; (4) planning and technical activities,,,TBD,IRA,Yes
pollution,Remediation and reduction of legacy pollution,epa,".ngo, .stateGov, .tribal, .localGov",Grants to Reduce Air Pollution at Ports,Environmental Protection Agency,Office of Air and Radiation,"$3,000,000,000 ",,"To remain available through September 30, 2027.",Rebates and competitive grants,New,"(1) A port authority; (2) A state, regional, local, or Tribal agency that has jurisdiction over a port authority or a port; (3) An air pollution control agency; or (4) A private entity (including a nonprofit organization) that applies for a grant in partnership with an entity described in (1)-(3) and owns, operates, or uses the facilities, cargo-handling equipment, transportation equipment, or related technology of a port. The Clean Air Act defines “state” to mean a state, the District of Columbia, the Commonwealth of Puerto Rico, the Virgin Islands, Guam, and American Samoa and includes the Commonwealth of the Northern Mariana Islands. The term “Indian tribe” means any Indian tribe, band, nation, or other organized group or community, including any Alaska Native village, that is Federally recognized as eligible for the special programs and services provided by the United States to Indians because of their status as Indians.","To purchase and install zero-emission port equipment and technology, conduct associated planning or permitting activities for this equipment and technology, and develop climate action plans to further address air pollution at ports.","(1) To purchase or install zero-emission port equipment or technology for use at, or to directly serve, one or more ports; (2) To conduct any relevant planning or permitting in connection with the purchase or installation of such zero-emission port equipment or technology; and (3) To develop qualified climate action plans.",,,TBD,IRA,Yes
